NACA 1412                                       
 Alfa =   0.00000 Re =        0.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00126  0.41504
   0.99376  0.00234  0.24841
   0.98289  0.00420  0.18402
   0.97022  0.00633  0.13543
   0.95604  0.00868  0.09806
   0.94080  0.01115  0.06608
   0.92493  0.01367  0.03889
   0.90872  0.01620  0.01485
   0.89233  0.01869 -0.00627
   0.87586  0.02115 -0.02539
   0.85933  0.02356 -0.04317
   0.84278  0.02592 -0.05965
   0.82620  0.02824 -0.07488
   0.80962  0.03050 -0.08917
   0.79302  0.03271 -0.10351
   0.77642  0.03487 -0.11649
   0.75981  0.03698 -0.12932
   0.74320  0.03904 -0.14174
   0.72658  0.04104 -0.15366
   0.70996  0.04299 -0.16556
   0.69334  0.04489 -0.17716
   0.67672  0.04674 -0.18835
   0.66010  0.04853 -0.19966
   0.64349  0.05026 -0.21073
   0.62688  0.05194 -0.22176
   0.61028  0.05355 -0.23272
   0.59369  0.05511 -0.24345
   0.57710  0.05660 -0.25448
   0.56053  0.05803 -0.26534
   0.54396  0.05939 -0.27618
   0.52742  0.06068 -0.28699
   0.51088  0.06190 -0.29812
   0.49437  0.06304 -0.30895
   0.47788  0.06411 -0.32029
   0.46141  0.06510 -0.33119
   0.44497  0.06601 -0.34268
   0.42856  0.06682 -0.35421
   0.41220  0.06755 -0.36617
   0.39590  0.06818 -0.37994
   0.37968  0.06870 -0.39249
   0.36352  0.06909 -0.40347
   0.34741  0.06937 -0.41424
   0.33135  0.06951 -0.42385
   0.31535  0.06952 -0.43333
   0.29941  0.06938 -0.44216
   0.28353  0.06911 -0.45038
   0.26773  0.06868 -0.45801
   0.25201  0.06809 -0.46468
   0.23638  0.06734 -0.47090
   0.22086  0.06642 -0.47609
   0.20546  0.06531 -0.48017
   0.19021  0.06402 -0.48354
   0.17512  0.06254 -0.48536
   0.16025  0.06085 -0.48562
   0.14563  0.05895 -0.48453
   0.13134  0.05685 -0.48126
   0.11746  0.05454 -0.47583
   0.10412  0.05204 -0.46776
   0.09147  0.04937 -0.45681
   0.07968  0.04659 -0.44239
   0.06890  0.04375 -0.42450
   0.05924  0.04092 -0.40290
   0.05072  0.03814 -0.37732
   0.04330  0.03546 -0.34771
   0.03686  0.03290 -0.31365
   0.03130  0.03045 -0.27551
